Date,Opponent,##,Player Name,TOT-FG,3-PT,FT,OF,DE,TOT,PF,TP,A,TO,BLK,S,MIN
01/22/2021,Kestrel Bay,42,Wendell Bramwell,2-7,2-5,4-4,2,4,6,3,10,3,0,0,1,22
01/22/2021,Kestrel Bay,02,Nikola Tolliver,0-5,0-1,2-2,1,1,2,1,2,0,1,1,0,12
01/22/2021,Kestrel Bay,12,Zeke Whitlock,0-1,0-1,0-0,1,1,2,1,0,1,0,1,0,13
01/22/2021,Kestrel Bay,04,Solomon Stanhope,0-3,0-1,0-1,1,0,1,0,0,2,1,0,0,9
01/22/2021,Kestrel Bay,50,Emeka Kealoha,1-8,1-3,0-1,1,0,1,1,3,3,3,0,1,17
01/22/2021,Kestrel Bay,15,Kwame Hazlett,2-7,0-0,0-2,2,2,4,0,4,3,2,1,1,15
01/22/2021,Kestrel Bay,05,Ugo Zeller,1-1,1-1,0-1,0,1,1,1,3,1,1,0,0,6
01/22/2021,Kestrel Bay,24,Bo Yeboah,,,,,,,,,,,,,DNP
01/22/2021,Kestrel Bay,,TEAM,,,,4,1,5,,,,3,,,
01/22/2021,Kestrel Bay,,Totals,25-68,10-26,9-21,19,22,41,14,69,20,19,10,9,200
01/24/2021,Langmere,35,Kwame Pilkington,1-5,0-5,0-2,0,2,2,4,2,8,2,1,2,40-
01/24/2021,Langmere,45,Bo Janowski,0-5,0-1,2-2,2,4,6,0,2,3,1,0,1,16
01/24/2021,Langmere,55,Emeka Yeboah,9-9,0-2,1-1,3,3,6,3,19,4,3,1,2,26
01/24/2021,Langmere,10,Hollis Vantrease,9-11,1-4,1-2,1,4,5,1,20,2,1,0,1,23
01/24/2021,Langmere,42,Wendell Bramwell,2-10,0-2,1-1,2,2,4,3,5,1,2,1,0,20
01/24/2021,Langmere,02,Nikola Tolliver,0-2,0-2,1-1,1,1,2,0,1,2,1,1,0,10
01/24/2021,Langmere,12,Zeke Whitlock,1-5,1-1,1-1,0,2,2,1,4,0,1,0,1,13
01/24/2021,Langmere,04,Solomon Stanhope,0-3,0-3,1-3,1,2,3,1,1,1,1,1,0,13
01/24/2021,Langmere,50,Emeka Kealoha,3-6,3-3,0-0,1,4,5,3,9,3,0,0,1,17
01/24/2021,Langmere,15,Kwame Hazlett,,,,,,,,,,,,,DNP
01/24/2021,Langmere,05,Ugo Zeller,,,,,,,,,,,,,DNP
01/24/2021,Langmere,24,Bo Yeboah,3-4,0-1,2-2,0,2,2,1,8,2,2,1,0,12
01/24/2021,Langmere,23,Wendell Lomax,0-1,0-1,0-2,0,2,2,2,0,1,0,0,0,10
01/24/2021,Langmere,,TEAM,,,,0,2,2,,,,3,,,
01/24/2021,Langmere,,Totals,28-61,5-25,10-17,11,30,41,19,71,27,17,6,8,200
01/27/2021,Quarry Ridge,35,Kwame Pilkington,0-12,0-2,1-1,1,5,6,2,1,6,4,2,2,26
01/27/2021,Quarry Ridge,45,Bo Janowski,4-6,4-4,0-1,2,5,7,1,12,4,0,2,1,21
01/27/2021,Quarry Ridge,55,Emeka Yeboah,8-3,3-3,4-7,1,8,9,3,13,2,2,2,1,32
01/27/2021,Quarry Ridge,10,Hollis Vantrease,1-9,1-3,0-1,3,3,6,3,3,3,2,2,3,30
01/27/2021,Quarry Ridge,42,Wendell Bramwell,1-2,0-0,1-6,3,2,5,4,3,4,2,2,2,29
01/27/2021,Quarry Ridge,02,Nikola Tolliver,2-3,0-1,0-0,1,2,3,0,4,2,1,0,0,10
01/27/2021,Quarry Ridge,12,Zeke Whitlock,0-5,0-2,0-0,0,1,1,1,0,0,1,1,1,12
01/27/2021,Quarry Ridge,04,Solomon Stanhope,,,,,,,,,,,,,DNP
01/27/2021,Quarry Ridge,50,Emeka Kealoha,0-10,0-4,2-2,1,2,3,3,2,2,2,2,1,19
01/27/2021,Quarry Ridge,15,Kwame Hazlett,4-7,4-5,2-2,3,4,7,3,14,3,3,1,1,21
01/27/2021,Quarry Ridge,05,Ugo Zeller,,,,,,,,,,,,,DNP
01/27/2021,Quarry Ridge,24,Bo Yeboah,,,,,,,,,,,,,DNP
01/27/2021,Quarry Ridge,23,Wendell Lomax,,,,,,,,,,,,,DNP
01/27/2021,Quarry Ridge,,TEAM,,,,4,1,5,,,,0,,,
01/27/2021,Quarry Ridge,,Totals,15-62,12-24,10-20,19,33,52,20,52,26,17,14,12,200
02/02/2021,Kestrel Bay,35,Kwame Pilkington,1-5,1-3,0-0,4,4,8,3,3,6,4,0,1,28
02/02/2021,Kestrel Bay,45,Bo Janowski,4-13,0-0,1-1,2,2,4,2,9,1,1,2,0,26
02/02/2021,Kestrel Bay,55,Emeka Yeboah,4-4,1-2,0-0,2,6,8,3,9,6,1,2,2,27
02/02/2021,Kestrel Bay,10,Hollis Vantrease,4-9,0-0,2-3,4,1,5,2,10,3,2,2,2,26
02/02/2021,Kestrel Bay,42,Wendell Bramwell,0-6,0-3,1-4,2,0,2,0,1,1,1,3,2,28
02/02/2021,Kestrel Bay,02,Nikola Tolliver,2-5,0-1,0-2,1,3,4,1,4,0,2,1,0,11
02/02/2021,Kestrel Bay,12,Zeke Whitlock,1-2,1-2,0-1,1,1,2,2,3,2,1,1,0,11
02/02/2021,Kestrel Bay,04,Solomon Stanhope,5-11,2-2,1-4,3,1,4,4,13,4,3,1,0,24
02/02/2021,Kestrel Bay,50,Emeka Kealoha,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0+
02/02/2021,Kestrel Bay,15,Kwame Hazlett,1-7,1-3,1-2,1,0,1,1,4,3,0,0,2,20
02/02/2021,Kestrel Bay,05,Ugo Zeller,,,,,,,,,,,,,DNP
02/02/2021,Kestrel Bay,,TEAM,,,,5,1,6,,,,2,,,
02/02/2021,Kestrel Bay,,Totals,22-62,6-16,6-17,25,19,44,18,56,26,17,12,9,200
02/06/2021,Underhill,35,Kwame Pilkington,4-7,1-1,0-2,2,6,8,0,9,5,4,2,0,23
02/06/2021,Underhill,45,Bo Janowski,0-7,0-6,3-3,4,5,9,1,3,6,1,2,1,30
02/06/2021,Underhill,55,Emeka Yeboah,0-3,0-1,2-2,0,1,1,1,2,4,3,2,0,24
02/06/2021,Underhill,10,Hollis Vantrease,3-12,2-9,1-1,3,4,7,3,9,2,4,2,1,33
02/06/2021,Underhill,42,Wendell Bramwell,8-13,3-4,1-3,2,3,5,1,20,6,3,2,0,27
02/06/2021,Underhill,02,Nikola Tolliver,,,,,,,,,,,,,DNP
02/06/2021,Underhill,12,Zeke Whitlock,2-4,1-2,0-2,0,0,0,2,5,1,0,0,0,11
02/06/2021,Underhill,04,Solomon Stanhope,4-5,3-5,1-3,2,2,4,0,12,1,1,1,0,18
02/06/2021,Underhill,50,Emeka Kealoha,,,,,,,,,,,,,DNP
02/06/2021,Underhill,15,Kwame Hazlett,0-3,0-1,0-2,1,1,2,1,-3,1,1,0,1,13
02/06/2021,Underhill,05,Ugo Zeller,3-4,0-0,1-1,0,2,2,0,7,1,1,0,0,8
02/06/2021,Underhill,24,Bo Yeboah,0-3,0-2,0-1,0,3,3,2,0,1,2,1,1,14
02/06/2021,Underhill,,TEAM,,,,0,0,0,,,,1,,,
02/06/2021,Underhill,,Totals,24-61,10-31,9-20,14,27,41,11,64,28,21,12,4,200
02/08/2021,Carrowmore,35,Kwame Pilkington,0-8,0-5,1-4,2,0,2,2,1,4,2,1,2,23
02/08/2021,Carrowmore,45,Bo Janowski,13-20,1-3,6-7,3,7,10,2,33,1,0,1,3,40-
02/08/2021,Carrowmore,55,Emeka Yeboah,3-4,2-4,0-1,2,8,10,0,8,8,4,1,1,31
02/08/2021,Carrowmore,10,Hollis Vantrease,0-15,0-7,0-2,5,10,15,3,0,6,5,3,1,36
02/08/2021,Carrowmore,42,Wendell Bramwell,7-7,1-2,3-9,0,0,0,4,18,6,5,1,3,40-
02/08/2021,Carrowmore,02,Nikola Tolliver,3-3,1-2,0-0,1,1,2,1,7,1,0,1,1,10
02/08/2021,Carrowmore,12,Zeke Whitlock,2-3,1-1,0-2,1,1,2,2,5,1,1,1,0,10
02/08/2021,Carrowmore,04,Solomon Stanhope,,,,,,,,,,,,,DNP
02/08/2021,Carrowmore,50,Emeka Kealoha,,,,,,,,,,,,,DNP
02/08/2021,Carrowmore,15,Kwame Hazlett,,,,,,,,,,,,,DNP
02/08/2021,Carrowmore,05,Ugo Zeller,0-2,0-2,1-1,1,1,2,1,1,2,0,0,1,10
02/08/2021,Carrowmore,,TEAM,,,,2,2,4,,,,1,,,
02/08/2021,Carrowmore,,Totals,28-62,6-26,11-26,17,30,47,15,73,29,18,9,12,200
02/13/2021,Kestrel Bay,35,Kwame Pilkington,13-14,6-7,2-5,4,0,4,2,34,7,3,2,3,30
02/13/2021,Kestrel Bay,45,Bo Janowski,5-7,1-1,1-1,0,2,2,3,12,3,2,1,1,17
02/13/2021,Kestrel Bay,55,Emeka Yeboah,0-3,0-3,0-4,4,5,9,4,0,4,0,0,2,30
02/13/2021,Kestrel Bay,10,Hollis Vantrease,10-11,0-1,0-1,2,3,5,0,20,6,2,0,2,30
02/13/2021,Kestrel Bay,42,Wendell Bramwell,13-14,0-4,2-4,0,5,5,3,28,7,3,2,0,31
02/13/2021,Kestrel Bay,02,Nikola Tolliver,6-6,4-4,1-1,2,3,5,2,17,2,3,0,1,15
02/13/2021,Kestrel Bay,12,Zeke Whitlock,1-3,1-1,1-2,1,2,3,1,4,2,1,0,1,12
02/13/2021,Kestrel Bay,04,Solomon Stanhope,0-2,0-2,0-1,2,1,3,2,0,1,1,1,0,15
02/13/2021,Kestrel Bay,50,Emeka Kealoha,5-5,2-3,1-1,2,2,4,2,13,1,0,0,1,14
02/13/2021,Kestrel Bay,15,Kwame Hazlett,,,,,,,,,,,,,DNP
02/13/2021,Kestrel Bay,05,Ugo Zeller,1-1,0-1,0-1,0,1,1,0,2,0,0,0,0,6
02/13/2021,Kestrel Bay,,TEAM,,,,2,4,6,,,,3,,,
02/13/2021,Kestrel Bay,,Totals,54-66,14-27,8-21,19,28,47,19,130,33,18,6,11,200
02/17/2021,Bellcourt,35,Kwame Pilkington,3-7,3-7,0-0,1,10,11,3,9,1,2,2,1,37
02/17/2021,Bellcourt,45,Bo Janowski,0-11,0-2,5-5,1,3,4,0,5,4,3,0,0,26
02/17/2021,Bellcourt,55,Emeka Yeboah,5-6,4-4,3-5,1,2,3,4,18,6,5,0,2,32
02/17/2021,Bellcourt,10,Hollis Vantrease,7-12,4-4,2-4,3,0,3,0,20,3,1,1,0,25
02/17/2021,Bellcourt,42,Wendell Bramwell,1-4,1-3,0-4,3,6,9,2,3,5,0,1,3,28
02/17/2021,Bellcourt,02,Nikola Tolliver,3-6,1-1,0-1,1,1,2,2,7,3,1,1,1,12
02/17/2021,Bellcourt,12,Zeke Whitlock,2-2,0-2,0-1,1,3,4,2,4,2,1,1,0,13
02/17/2021,Bellcourt,04,Solomon Stanhope,,,,,,,,,,,,,DNP
02/17/2021,Bellcourt,50,Emeka Kealoha,3-10,0-1,1-2,0,2,2,3,7,1,3,1,0,20
02/17/2021,Bellcourt,15,Kwame Hazlett,,,,,,,,,,,,,DNP
02/17/2021,Bellcourt,05,Ugo Zeller,0-4,0-2,0-0,1,2,3,1,0,1,0,1,0,8
02/17/2021,Bellcourt,,TEAM,,,,4,4,8,,,,1,,,
02/17/2021,Bellcourt,,Totals,24-62,13-26,11-22,16,33,49,17,73,26,17,8,7,200
02/21/2021,Pentland,35,Kwame Pilkington,3-8,0-0,3-3,4,6,10,1,9,1,4,1,2,28
02/21/2021,Pentland,45,Bo Janowski,1-7,1-1,1-3,0,0,0,2,4,2,2,1,1,15
02/21/2021,Pentland,55,Emeka Yeboah,3-11,3-6,0-2,3,6,9,1,9,2,4,1,3,26
02/21/2021,Pentland,10,Hollis Vantrease,0-14,0-4,0-0,1,6,7,4,0,5,1,1,2,30
02/21/2021,Pentland,42,Wendell Bramwell,5-7,1-3,2-4,0,4,4,3,13,1,2,2,2,19
02/21/2021,Pentland,02,Nikola Tolliver,1-4,0-2,0-0,1,0,1,0,2,1,1,1,1,8
02/21/2021,Pentland,12,Zeke Whitlock,4-5,2-2,1-1,1,3,4,1,11,1,1,0,0,14
02/21/2021,Pentland,04,Solomon Stanhope,5-5,0-0,1-1,1,2,3,1,11,1,2,0,1,11
02/21/2021,Pentland,50,Emeka Kealoha,,,,,,,,,,,,,DNP
02/21/2021,Pentland,15,Kwame Hazlett,3-4,0-4,0-1,2,1,3,1,6,3,1,1,1,16
02/21/2021,Pentland,05,Ugo Zeller,2-2,0-0,0-1,0,2,2,1,4,2,0,0,0,7
02/21/2021,Pentland,24,Bo Yeboah,3-4,0-1,2-2,2,0,2,0,11,1,1,0,1,11
02/21/2021,Pentland,23,Wendell Lomax,2-7,1-1,0-2,0,3,3,2,5,2,1,0,1,15
02/21/2021,Pentland,,TEAM,,,,2,2,4,,,,1,,,
02/21/2021,Pentland,,Totals,32-78,8-24,10-20,17,35,52,17,85,22,21,8,15,200
02/24/2021,Fenwick,35,Kwame Pilkington,0-8,0-7,0-0,1,8,9,1,0,4,2,0,1,31
02/24/2021,Fenwick,45,Bo Janowski,3-4,3-4,0-3,1,1,2,1,9,0,3,1,2,18
02/24/2021,Fenwick,55,Emeka Yeboah,14-14,2-8,5-7,3,7,10,4,35,6,5,1,0,32
02/24/2021,Fenwick,10,Hollis Vantrease,3-3,0-3,1-1,0,0,0,0,7,6,5,2,0,32
02/24/2021,Fenwick,42,Wendell Bramwell,7-9,4-4,4-5,1,2,3,5,22,5,2,3,1,35
02/24/2021,Fenwick,02,Nikola Tolliver,,,,,,,,,,,,,DNP
02/24/2021,Fenwick,12,Zeke Whitlock,3-5,0-1,0-1,0,1,1,2,6,2,1,1,1,13
02/24/2021,Fenwick,04,Solomon Stanhope,2-4,1-2,1-2,0,0,0,0,5,0,0,0,1,11
02/24/2021,Fenwick,50,Emeka Kealoha,,,,,,,,,,,,,DNP
02/24/2021,Fenwick,15,Kwame Hazlett,0-2,0-1,0-0,2,0,2,1,0,1,2,1,1,12
02/24/2021,Fenwick,05,Ugo Zeller,1-2,0-1,1-1,0,0,0,0,3,0,1,0,0,5
02/24/2021,Fenwick,24,Bo Yeboah,2-3,2-3,0-2,1,2,3,2,6,1,1,0,0,11
02/24/2021,Fenwick,,TEAM,,,,4,3,7,,,,3,,,
02/24/2021,Fenwick,,Totals,35-54,12-34,12-22,13,24,37,16,93,25,25,9,7,200
02/27/2021,Langmere,35,Kwame Pilkington,2-8,0-1,3-3,1,4,5,1,7,5,3,0,2,28
02/27/2021,Langmere,45,Bo Janowski,8-8,0-5,0-0,0,5,5,2,16,3,4,1,2,21
02/27/2021,Langmere,55,Emeka Yeboah,1-4,1-2,0-5,4,6,10,5,3,1,2,1,1,27
02/27/2021,Langmere,10,Hollis Vantrease,7-7,5-5,4-6,1,3,4,2,23,7,4,2,1,30
02/27/2021,Langmere,42,Wendell Bramwell,0-4,0-4,1-4,2,5,7,1,1,8,1,1,2,40-
02/27/2021,Langmere,02,Nikola Tolliver,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
02/27/2021,Langmere,12,Zeke Whitlock,3-3,0-1,3-3,0,3,3,1,9,2,1,0,1,14
02/27/2021,Langmere,04,Solomon Stanhope,3-6,2-4,0-1,2,4,6,0,8,2,1,1,1,19
02/27/2021,Langmere,50,Emeka Kealoha,0-7,0-3,2-3,2,2,4,2,2,1,2,1,0,14
02/27/2021,Langmere,15,Kwame Hazlett,,,,,,,,,,,,,DNP
02/27/2021,Langmere,05,Ugo Zeller,1-2,0-0,0-1,1,2,3,0,2,1,0,1,0,7
02/27/2021,Langmere,,TEAM,,,,1,4,5,,,,2,,,
02/27/2021,Langmere,,Totals,25-49,8-25,13-26,14,38,52,14,71,30,20,8,10,200
11/08/2021,Oakhaven,00,Kwame Janowski,10-11,0-2,5-6,4,5,9,1,25,3,4,1,2,26
11/08/2021,Oakhaven,02,Hollis Redfern,0-12,0-3,0-3,0,6,6,3,0,5,2,2,1,22
11/08/2021,Oakhaven,32,Gideon Abara,2-9,1-2,2-3,1,2,3,1,7,2,1,0,0,18
11/08/2021,Oakhaven,15,Oisin Ulmer,3-12,1-1,0-1,2,1,3,0,7,5,2,2,2,25
11/08/2021,Oakhaven,14,Nikola Janowski,7-9,0-2,2-3,4,5,9,0,16,5,0,2,2,26
11/08/2021,Oakhaven,23,Emeka Lomax,5-6,0-2,1-1,1,4,5,3,11,2,1,1,0,18
11/08/2021,Oakhaven,34,Jarrell Nkemelu,1-5,0-1,1-1,1,1,2,1,3,3,1,0,0,11
11/08/2021,Oakhaven,40,Amare Ulmer,0-2,0-2,0-2,0,3,3,2,0,3,2,1,1,12
11/08/2021,Oakhaven,11,Wendell Ulmer,2-2,0-1,1-2,1,1,2,2,5,1,1,1,1,14
11/08/2021,Oakhaven,04,Oisin Tolliver,,,,,,,,,,,,,DNP
11/08/2021,Oakhaven,50,Lachlan Ulmer,1-2,0-2,1-2,1,2,3,1,3,1,1,1,0,13
11/08/2021,Oakhaven,10,Tavian Zeller,2-4,0-2,0-0,1,3,4,2,4,2,2,0,1,15
11/08/2021,Oakhaven,,TEAM,,,,0,2,2,,,,2,,,
11/08/2021,Oakhaven,,Totals,33-74,2-20,13-24,16,35,51,16,81,32,19,11,10,200
11/14/2021,Pentland,00,Kwame Janowski,8-10,2-3,0-0,2,0,2,3,18,0,3,1,0,18
11/14/2021,Pentland,02,Hollis Redfern,2-2,1-2,0-3,3,5,8,3,5,5,3,1,2,24
11/14/2021,Pentland,32,Gideon Abara,3-6,1-1,3-4,2,2,4,2,10,3,2,1,1,25
11/14/2021,Pentland,15,Oisin Ulmer,2-14,2-3,1-6,2,2,4,1,7,3,1,3,2,29
11/14/2021,Pentland,14,Nikola Janowski,2-5,2-3,1-5,1,1,2,3,7,2,1,1,1,25
11/14/2021,Pentland,23,Emeka Lomax,1-4,0-0,1-2,1,2,3,1,3,2,2,1,0,14
11/14/2021,Pentland,34,Jarrell Nkemelu,0-5,0-1,1-2,0,2,2,1,1,1,1,1,1,11
11/14/2021,Pentland,40,Amare Ulmer,,,,,,,,,,,,,DNP
11/14/2021,Pentland,11,Wendell Ulmer,2-7,0-0,0-1,1,4,5,2,4,2,1,1,1,15
11/14/2021,Pentland,04,Oisin Tolliver,,,,,,,,,,,,,DNP
11/14/2021,Pentland,50,Lachlan Ulmer,1-1,1-1,0-1,2,1,3,2,3,3,1,1,0,18
11/14/2021,Pentland,10,Tavian Zeller,1-1,0-0,1-2,0,2,2,2,3,1,2,0,1,11
11/14/2021,Pentland,22,Zeke Yeboah,3-5,1-2,0-1,1,2,3,0,7,1,1,0,1,10
11/14/2021,Pentland,,TEAM,,,,5,3,8,,,,0,,,
11/14/2021,Pentland,,Totals,25-60,10-16,8-27,20,26,46,20,68,23,18,11,10,200
11/18/2021,Marchfield,00,Kwame Janowski,8-8,2-6,2-7,1,0,1,2,20,6,4,2,3,30
11/18/2021,Marchfield,02,Hollis Redfern,2-7,0-3,3-3,2,0,2,3,7,3,4,2,2,28
11/18/2021,Marchfield,32,Gideon Abara,3-7,0-1,1-2,0,4,4,3,7,1,2,1,0,23
11/18/2021,Marchfield,15,Oisin Ulmer,4-6,4-4,0-5,1,6,7,0,12,6,4,2,2,27
11/18/2021,Marchfield,14,Nikola Janowski,2-7,0-4,1-6,3,5,8,3,5,6,3,0,1,29
11/18/2021,Marchfield,23,Emeka Lomax,1-3,1-3,0-1,0,3,3,3,3,3,1,1,1,19
11/18/2021,Marchfield,34,Jarrell Nkemelu,2-2,2-2,0-0,0,2,2,1,6,2,0,1,1,10
11/18/2021,Marchfield,40,Amare Ulmer,2-2,0-0,0-2,0,1,1,2,4,1,0,1,1,12
11/18/2021,Marchfield,11,Wendell Ulmer,1-1,1-1,2-2,1,1,2,0,5,3,1,0,1,11
11/18/2021,Marchfield,04,Oisin Tolliver,1-6,1-2,1-2,1,2,3,1,4,1,1,1,0,11
11/18/2021,Marchfield,50,Lachlan Ulmer,,,,,,,,,,,,,DNP
11/18/2021,Marchfield,,TEAM,,,,0,0,0,,,,1,,,
11/18/2021,Marchfield,,Totals,26-49,11-26,10-30,9,24,33,18,73,32,21,11,12,200
11/22/2021,Innisfree,00,Kwame Janowski,14-16,2-2,2-2,3,7,10,3,32,0,2,1,2,32
11/22/2021,Innisfree,02,Hollis Redfern,2-5,0-5,2-4,2,5,7,0,6,4,3,2,1,25
11/22/2021,Innisfree,32,Gideon Abara,2-6,0-5,5-5,1,4,5,1,9,4,3,1,1,21
11/22/2021,Innisfree,15,Oisin Ulmer,8-19,5-8,2-3,5,7,12,1,23,8,2,3,1,36
11/22/2021,Innisfree,14,Nikola Janowski,0-7,0-7,0-0,1,6,7,3,0,3,2,2,1,29
11/22/2021,Innisfree,23,Emeka Lomax,4-7,0-1,0-1,2,1,3,2,8,0,2,0,1,17
11/22/2021,Innisfree,34,Jarrell Nkemelu,,,,,,,,,,,,,DNP
11/22/2021,Innisfree,40,Amare Ulmer,2-3,1-1,0-0,0,2,2,2,5,1,2,1,1,12
11/22/2021,Innisfree,11,Wendell Ulmer,1-2,1-1,0-0,0,3,3,2,3,1,1,0,1,13
11/22/2021,Innisfree,04,Oisin Tolliver,,,,,,,,,,,,,DNP
11/22/2021,Innisfree,50,Lachlan Ulmer,,,,,,,,,,,,,DNP
11/22/2021,Innisfree,10,Tavian Zeller,6-6,0-1,2-2,2,0,2,2,14,1,2,1,1,14
11/22/2021,Innisfree,,TEAM,,,,1,3,4,,,,3,,,
11/22/2021,Innisfree,,Totals,39-71,9-31,13-17,17,38,55,16,100,22,22,11,10,200
11/28/2021,Harlowe,00,Kwame Janowski,1-4,1-2,0-3,2,7,9,2,3,6,3,2,1,27
11/28/2021,Harlowe,02,Hollis Redfern,1-4,0-1,0-0,4,1,5,3,2,4,5,2,3,31
11/28/2021,Harlowe,32,Gideon Abara,5-5,1-2,2-2,3,2,5,2,13,4,1,1,2,18
11/28/2021,Harlowe,15,Oisin Ulmer,13-15,2-6,2-2,0,8,8,3,30,3,5,0,2,30
11/28/2021,Harlowe,14,Nikola Janowski,4-4,4-4,1-1,2,2,4,3,13,4,3,2,2,24
11/28/2021,Harlowe,23,Emeka Lomax,5-5,1-1,2-2,3,5,8,0,13,4,0,1,2,24
11/28/2021,Harlowe,34,Jarrell Nkemelu,2-2,0-1,1-1,1,1,2,0,5,0,0,0,1,7
11/28/2021,Harlowe,40,Amare Ulmer,0-2,0-0,0-1,1,1,2,0,0,1,1,0,1,12
11/28/2021,Harlowe,11,Wendell Ulmer,,,,,,,,,,,,,DNP
11/28/2021,Harlowe,04,Oisin Tolliver,1-1,1-1,0-0,0,1,1,1,3,1,1,0,0,7
11/28/2021,Harlowe,50,Lachlan Ulmer,2-2,1-2,2-4,1,1,2,1,7,2,3,1,2,20
11/28/2021,Harlowe,,TEAM,,,,0,3,3,,,,3,,,
11/28/2021,Harlowe,,Totals,34-44,11-20,10-16,17,32,49,15,89,29,25,9,16,200
12/03/2021,Granholm,00,Kwame Janowski,1-2,0-0,0-5,4,8,12,3,2,0,1,2,0,28
12/03/2021,Granholm,02,Hollis Redfern,0-7,0-6,1-6,1,3,4,1,1,5,2,0,1,30
12/03/2021,Granholm,32,Gideon Abara,5-5,0-5,0-1,3,5,8,2,10,4,1,2,0,24
12/03/2021,Granholm,15,Oisin Ulmer,3-10,0-4,4-4,0,7,7,2,10,6,2,1,0,29
12/03/2021,Granholm,14,Nikola Janowski,9-17,0-0,0-6,1,3,4,4,18,8,1,0,1,36
12/03/2021,Granholm,23,Emeka Lomax,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
12/03/2021,Granholm,34,Jarrell Nkemelu,1-4,1-1,0-0,1,0,1,1,3,1,1,1,1,9
12/03/2021,Granholm,40,Amare Ulmer,2-5,1-2,3-3,1,4,5,1,8,2,2,0,1,15
12/03/2021,Granholm,11,Wendell Ulmer,,,,,,,,,,,,,DNP
12/03/2021,Granholm,04,Oisin Tolliver,1-2,0-0,0-0,1,1,2,1,2,1,0,0,0,9
12/03/2021,Granholm,50,Lachlan Ulmer,2-6,1-3,1-2,1,5,6,0,6,1,2,1,2,19
12/03/2021,Granholm,10,Tavian Zeller,,,,,,,,,,,,,DNP
12/03/2021,Granholm,22,Zeke Yeboah,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0+
12/03/2021,Granholm,,TEAM,,,,3,0,3,,,,1,,,
12/03/2021,Granholm,,Totals,24-58,3-21,9-27,16,36,52,15,60,28,13,7,6,200
12/05/2021,Westmere,00,Kwame Janowski,2-5,0-5,2-6,3,3,6,5,6,3,3,1,1,32
12/05/2021,Westmere,02,Hollis Redfern,5-5,2-5,0-0,1,6,7,3,12,2,1,0,2,23
12/05/2021,Westmere,32,Gideon Abara,1-2,0-1,2-4,0,4,4,0,4,2,2,1,1,24
12/05/2021,Westmere,15,Oisin Ulmer,5-5,2-4,0-0,3,0,3,1,12,3,1,2,2,21
12/05/2021,Westmere,14,Nikola Janowski,0-14,0-3,2-5,1,3,4,2,2,1,3,3,1,28
12/05/2021,Westmere,23,Emeka Lomax,4-6,4-4,1-1,2,2,4,1,13,3,1,1,0,15
12/05/2021,Westmere,34,Jarrell Nkemelu,1-3,0-2,0-1,1,3,4,2,2,1,1,1,0,13
12/05/2021,Westmere,40,Amare Ulmer,4-5,0-1,0-0,1,4,5,1,8,0,0,1,0,14
12/05/2021,Westmere,11,Wendell Ulmer,2-3,2-3,0-0,0,4,4,0,6,5,1,1,1,20
12/05/2021,Westmere,04,Oisin Tolliver,1-3,0-1,0-2,1,3,4,0,2,1,2,0,0,11
12/05/2021,Westmere,50,Lachlan Ulmer,,,,,,,,,,,,,DNP
12/05/2021,Westmere,,TEAM,,,,3,4,7,,,,3,,,
12/05/2021,Westmere,,Totals,25-51,10-29,7-19,16,36,52,15,67,21,18,11,8,200
12/07/2021,Oakhaven,00,Kwame Janowski,1-3,0-3,1-6,1,6,7,2,3,0,4,1,1,26
12/07/2021,Oakhaven,02,Hollis Redfern,0-12,0-2,1-5,3,8,11,4,1,4,3,3,1,34
12/07/2021,Oakhaven,32,Gideon Abara,1-5,1-5,0-3,2,6,8,4,1,0,3,1,1,28
12/07/2021,Oakhaven,15,Oisin Ulmer,3-11,1-1,4-5,4,1,5,0,11,2,4,1,3,27
12/07/2021,Oakhaven,14,Nikola Janowski,3-3,3-3,2-2,3,3,6,0,11,4,2,2,1,21
12/07/2021,Oakhaven,23,Emeka Lomax,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0+
12/07/2021,Oakhaven,34,Jarrell Nkemelu,1-4,1-2,2-3,1,0,1,1,5,1,2,0,0,11
12/07/2021,Oakhaven,40,Amare Ulmer,3-6,0-1,1-1,1,2,3,2,7,3,2,1,0,12
12/07/2021,Oakhaven,11,Wendell Ulmer,1-4,1-2,1-1,1,0,1,0,4,2,2,1,0,15
12/07/2021,Oakhaven,04,Oisin Tolliver,1-4,0-0,2-2,1,1,2,1,4,0,1,1,0,12
12/07/2021,Oakhaven,50,Lachlan Ulmer,1-2,1-2,0-1,1,1,2,1,3,3,1,1,1,13
12/07/2021,Oakhaven,,TEAM,,,,0,1,1,,,,3,,,
12/07/2021,Oakhaven,,Totals,15-54,8-21,14-29,18,29,47,15,50,19,27,12,8,200
12/12/2021,Carrowmore,00,Kwame Janowski,2-8,2-6,1-1,2,5,7,4,7,1,4,1,2,23
12/12/2021,Carrowmore,02,Hollis Redfern,0-4,0-4,0-1,0,4,4,3,0,2,3,1,1,19
12/12/2021,Carrowmore,32,Gideon Abara,10-12,3-3,4-4,1,6,7,1,27,3,2,0,1,25
