MRN,Last Name,First Name,DOB,Sex,Email,Insurance,Member #,Coverage Start,Coverage End,Allergies,SSN,Problem List
204493,Okafor,Nora,2015-02-12,f,nora.okafor@mail.example.net,Blue Cross Blue Shield of Texas,ZGP4660289,2023-10-08,,NSAIDs; Peanuts,900-85-5236,E11.9; I10; J45.909
204494,Vasquez,Julien,1986-06-17,M,,UHC,94064144,2024-11-12,,NSAIDs; Peanuts,900-49-8002,E11.9; I10
204495,Okafor,Rosa,2013-03-13,F,rosa.okafor@example.com,Cigna,U6562402,2024-05-19,,,900-50-8292,
204496,Yamada,Chidi,10/28/97,M,,AETNA,W9551959,2023-08-17,,NKDA,900-99-4343,
204497,Ionescu,Piotr,1993-08-29,M,piotr.ionescu@example.com,BCBS TX,ZGP4210339,2023-08-26,,Penicillin,,E11.9; I10; J45.909
204498,Moreau,Luz,2006-03-14,F,luz.moreau@example.com,United Healthcare,94560923,2024-08-15,2025-12-21,Latex,,
204499,Vasquez,Camila,1943-09-26,F,camila.vasquez@mail.example.net,Self Pay,,,,,900-70-9930,
204500,Halvorsen,Cordelia,5/8/66,F,,United Healthcare,97580719,2025-02-09,,,900-86-1743,
204501,Achebe,Bjorn,6/11/99,M,bjorn.achebe@example.com,Aetna,W1949615,2024-04-18,,NKDA,,E11.9
204502,Novotny,Cordelia,1934-05-08,F,cordelia.novotny@mail.example.net,Medicare,1EG48623788,2023-05-15,,Penicillin; Sulfa drugs,900-96-1666,
204503,Aguilar,Alden,8/2/50,M,alden.aguilar@example.com,Medicare,1EG45379327,2023-03-28,,Penicillin; Sulfa drugs,900-26-9820,I10
204504,Kowalski,Ximena,1934-08-28,Female,ximena.kowalski@example.com,Cigna,U1210661,2023-07-04,,Contrast dye; Latex,900-10-8177,I10
204505,Whitfield,Ines,2010-08-08,Female,ines.whitfield@mail.example.net,Blue Cross Blue Shield of Texas,ZGP3746594,2023-02-08,,NKDA,,I10
204506,Hollis,Camila,2019-10-29,F,,Cigna,U3629640,2026-03-25,2027-04-03,"Latex, Penicillin",900-26-8629,E11.9
204507,Ridley,Elsa,1965-04-05,F,elsa.ridley@example.com,United Healthcare,93402635,2026-03-29,,NSAIDs; Peanuts,900-19-6971,E11.9; I10
204508,Ferreira,Adriana,1993-11-06,F,adriana.ferreira@mail.example.net,Cigna,U8426363,2025-07-23,2023-04-29,Latex,900-30-4535,I10
204509,Osei,Ines,1936-09-14,F,,Medicare,1EG48785382,2023-02-24,,,900-59-2430,
204510,Marchetti,Thanh,1962-07-22,F,thanh.marchetti@example.com,UHC,96851146,2024-12-20,,Latex,900-30-1705,I10
204511,Lindqvist,Naledi,1951-01-03,F,naledi.lindqvist@mail.example.net,Cigna,U9034245,2025-10-29,,,900-69-9439,J45.909
204512,Fitzgerald,Ines,6/25/67,F,ines.fitzgerald@example.com,Aetna,W6525883,2025-04-09,,Penicillin; Sulfa drugs,,E11.9
204513,Yamada,Femi,1961-04-22,M,femi.yamada@mail.example.net,Humana,H4532145,2023-07-29,,NKDA,900-49-3560,I10
204514,Thorne,Giulia,1993-07-05,F,giulia.thorne@example.com,United Healthcare,92491237,2026-05-27,,Penicillin; Peanuts; Latex,900-61-8956,E11.9
204515,Baptiste,Femi,1985-04-26,M,,United Healthcare,91902416,2026-05-13,,,900-10-8687,J45.909
204516,Castellanos,Sigrid,2001-04-29,F,,Aetna,W3421776,2024-07-13,,PCN,900-38-7645,
204517,Vasquez,Nora,1997-03-21,U,nora.vasquez@example.org,BCBS TX,ZGP4048909,2025-11-29,2027-04-12,Penicillin; Peanuts; Latex,900-29-1207,E11.9; I10; J45.909
204518,Ridley,Naledi,1/11/70,F,,Humana,H2005032,2026-06-27,2026-10-03,Sulfa drugs; NSAIDs,,E11.9
204519,Lindqvist,Emile,2008-04-13,MALE,emile.lindqvist@mail.example.net,Cigna,U9251565,2023-12-24,,NKDA,900-32-2938,I10
204520,Ferreira,Luz,2/5/67,Female,luz.ferreira@example.org,Self Pay,,,,"Latex, Penicillin",900-97-2867,J45.909
204521,Hollis,Nora,1991-06-13,F,nora.hollis@example.com,Blue Cross Blue Shield of Texas,ZGP8193289,2023-10-11,2026-03-22,NKDA,900-30-9177,
204522,Aguilar,Cordelia,1995-05-06,F,cordelia.aguilar@mail.example.net,AETNA,W5437437,2026-03-13,,,900-91-7735,E11.9
204523,Vasquez,Naledi,3/10/59,F,naledi.vasquez@example.org,Self Pay,,,,,900-62-7144,E11.9
204524,Delacroix,Piotr,1963-10-07,M,piotr.delacroix@example.com,Humana,H9472881,2024-01-18,,NSAIDs; Peanuts,900-16-2261,I10; J45.909
204525,Petrov,Femi,1987-03-28,M,femi.petrov@mail.example.net,United Healthcare,93231358,2024-07-14,,,900-62-6953,I10
204526,Okafor,Ximena,2005-07-22,Female,ximena.okafor@example.com,Cigna,U6591760,2023-06-29,,"Latex, Penicillin",900-61-5180,J45.909
204527,Thorne,Femi,1982-03-08,M,femi.thorne@example.com,UHC,97771983,2025-07-13,,Sulfa drugs; NSAIDs,,I10
204528,Lindqvist,Ines,1996-10-21,F,ines.lindqvist@mail.example.net,Medicare,1EG48872492,2024-09-20,2026-07-29,Peanuts; Shellfish,900-53-3813,E11.9
204529,Baptiste,Mateo,2022-06-23,M,mateo.baptiste@mail.example.net,Self Pay,,,,Sulfa drugs; NSAIDs,,I10
204530,Petrov,Anya,1981-12-01,F,anya.petrov@example.org,Blue Cross Blue Shield of Texas,ZGP7885689,2024-01-27,2025-07-10,,900-30-2816,J45.909
204531,Ridley,Anya,2015-05-23,,anya.ridley@example.com,Medicare,1EG43650683,2023-12-03,,,900-88-2901,
204532,Aguilar,Nora,2005-03-01,f,nora.aguilar@mail.example.net,Blue Cross Blue Shield of Texas,ZGP3674816,2024-07-19,,,900-32-4654,I10
204533,Lindqvist,Camila,1978-11-05,F,camila.lindqvist@mail.example.net,Cigna,U4927280,2025-11-09,,Peanuts; Shellfish,900-27-2420,I10
204534,Delacroix,Ruben,1931-05-30,M,ruben.delacroix@example.org,Blue Cross Blue Shield of Texas,ZGP6462333,2024-12-31,,Latex,900-64-3138,J45.909
204535,Aguilar,Julien,2020-11-18,MALE,julien.aguilar@example.com,United Healthcare,97842921,2023-12-18,,,,E11.9
204536,Hollis,Camila,2019-09-02,F,camila.hollis@example.org,Self Pay,,,,Sulfa drugs; NSAIDs,900-20-6481,I10; J45.909
204537,Nguyen,Everett,2020-06-02,M,everett.nguyen@example.com,Medicare,1EG49022612,2023-08-29,2025-06-27,,900-29-4169,
204538,Bergstrom,Margot,1979-01-21,F,margot.bergstrom@mail.example.net,Blue Cross Blue Shield of Texas,ZGP4734280,2023-06-08,,Peanuts; Shellfish,900-15-2212,
204539,Okafor,Beatriz,1976-11-22,F,beatriz.okafor@example.com,Humana,H1299770,2023-02-22,,Contrast dye; Latex,900-13-5143,
204540,Okafor,Luz,2005-08-15,F,,BCBS TX,ZGP6254281,2026-01-14,,Penicillin; Peanuts; Latex,900-44-6556,E11.9; I10
204541,Lindqvist,Rosa,1988-12-26,U,rosa.lindqvist@example.org,Cigna,U2920758,2024-11-29,,,,E11.9
204542,Fitzgerald,Sigrid,1939-01-21,F,sigrid.fitzgerald@example.com,United Healthcare,95120360,2025-10-02,,Contrast dye; Latex,,E11.9
204543,Thorne,Vera,2011-06-26,F,vera.thorne@example.org,Medicare,1EG46042707,2024-02-14,,Sulfa drugs; NSAIDs,900-94-4842,E11.9
204544,Okafor,Naledi,2007-11-02,F,naledi.okafor@mail.example.net,United Healthcare,92463413,2025-06-09,,Penicillin; Peanuts; Latex,900-36-4045,E11.9; I10
204545,Escobar,Everett,1995-12-22,M,everett.escobar@example.com,Blue Cross Blue Shield of Texas,ZGP9854678,2024-09-08,,,900-40-6346,E11.9; I10
204546,Novotny,Wendell,6/10/13,M,wendell.novotny@mail.example.net,Blue Cross Blue Shield of Texas,ZGP1393216,2024-05-01,2025-04-26,Contrast dye; Latex,900-28-6599,E11.9; I10
204547,Delacroix,Alden,1939-03-05,M,alden.delacroix@mail.example.net,Cigna,U1017090,2025-10-11,,Sulfa drugs; NSAIDs,900-22-3712,I10
204548,Petrov,Vera,1963-08-18,Female,vera.petrov@example.com,Blue Cross Blue Shield of Texas,ZGP8670469,2023-12-04,,Penicillin,900-57-5295,
204549,Whitfield,Elsa,1952-05-23,F,elsa.whitfield@example.com,United Healthcare,97576417,2025-06-04,,Penicillin,,
204550,Mbeki,Nora,1990-09-02,F,nora.mbeki@example.com,BCBS TX,ZGP2075325,2025-03-02,2026-07-28,,900-92-6622,E11.9
204551,Bergstrom,Sigrid,2011-11-04,F,sigrid.bergstrom@example.com,Blue Cross Blue Shield of Texas,ZGP7524736,2025-06-13,,Penicillin; Peanuts; Latex,900-47-5398,E11.9
204552,Vasquez,Ines,1950-12-28,F,ines.vasquez@example.com,UHC,92298480,2023-10-11,2023-12-09,,900-67-9616,I10
204553,Moreau,Sigrid,1981-07-03,F,sigrid.moreau@example.com,Cigna,U8516721,2026-06-29,,,,I10
204554,Alvarez,Alden,1981-09-29,M,alden.alvarez@,Blue Cross Blue Shield of Texas,ZGP3403125,2025-03-30,,,900-30-8781,E11.9; I10
204555,Hollis,Everett,1948-10-18,MALE,everett.hollis@mail.example.net,Humana,H8201412,2024-12-13,,Penicillin,900-68-8536,I10
204556,Thorne,Kwame,1998-08-24,M,kwame.thorne@example.com,Cigna,U8026019,2026-02-25,,Penicillin,900-17-6906,I10
204557,Halvorsen,Piotr,1939-04-27,MALE,piotr.halvorsen@mail.example.net,Medicare,1EG49014938,2024-07-31,,Penicillin; Sulfa drugs,900-96-1080,J45.909
204558,Alvarez,Emile,1980-04-29,M,emile.alvarez@example.com,United Healthcare,98905863,2025-11-26,,,900-53-5114,J45.909
204559,Delacroix,Margot,2002-03-22,F,margot.delacroix@example.com,Medicare,1EG45678673,2024-11-10,,Penicillin; Sulfa drugs,900-20-8329,E11.9; I10
204560,Marchetti,Cordelia,1994-02-27,F,cordelia.marchetti@example.org,Medicare,1EG41270119,2023-05-28,,,900-18-9792,E11.9
204561,Ionescu,Ines,2009-12-10,F,ines.ionescu@example.com,Blue Cross Blue Shield of Texas,ZGP9961627,2024-06-18,2026-11-29,NKDA,900-92-8900,I10
204562,Petrov,Naledi,1998-06-22,F,naledi.petrov@,United Healthcare,93798674,2024-02-23,,NKDA,900-57-1835,I10
204563,Baptiste,Alden,4/29/59,M,,United Healthcare,91798907,2023-07-19,,Penicillin; Sulfa drugs,900-62-5256,
204564,Escobar,Rosa,1992-07-11,F,,Aetna,W5543236,2025-06-23,,NKDA,900-85-8261,I10; J45.909
204565,Osei,Cordelia,1/26/91,F,cordelia.osei@example.com,Blue Cross Blue Shield of Texas,ZGP7637451,2023-01-06,,Penicillin,900-41-6668,J45.909
204566,Sandoval,Haruki,7/24/86,MALE,haruki.sandoval@example.com,Medicare,1EG44357494,2025-04-25,,NKDA,900-31-8371,J45.909
204567,Kowalski,Ximena,1936-10-29,U,ximena.kowalski@example.com,Medicare,1EG42313101,2025-02-05,,,900-52-2217,
204568,Vasquez,Camila,2000-07-24,Non-binary,camila.vasquez@mail.example.net,Blue Cross Blue Shield of Texas,ZGP4353645,2024-08-27,,NKDA,,E11.9; I10; J45.909
204569,Novotny,Luz,2024-05-02,F,,Aetna,W9690939,2024-06-05,,,900-33-3043,E11.9; I10
204570,Achebe,Sigrid,12/26/90,F,sigrid.achebe@example.com,UHC,94692320,2023-07-25,,"Latex, Penicillin",900-23-1512,
204571,Mbeki,Alden,2013-11-29,M,alden.mbeki@example.com,Humana,H9645239,2024-10-22,,Peanuts; Shellfish,900-93-7979,J45.909
204572,Nguyen,Piotr,1988-08-04,m,piotr.nguyen@example.com,Medicare,1EG47467542,2023-10-08,,Latex,900-20-5801,J45.909
204573,Baptiste,Naledi,1962-04-27,F,naledi.baptiste@example.com,Aetna,W9214603,2025-09-20,,NKDA,,E11.9; I10
204574,Okafor,Haruki,1942-12-24,M,haruki.okafor@mail.example.net,Aetna,W8162392,2025-01-10,,,900-53-7150,
204575,Okafor,Luz,2009-01-06,F,luz.okafor@example.org,Aetna,W7631151,2024-07-22,,,900-83-3682,I10
204576,Ramirez,Anya,1965-04-08,Female,anya.ramirez@example.org,Cigna,U9029037,2024-08-16,2025-10-19,,900-67-7219,I10
204577,Alvarez,Margot,2003-01-15,U,margot.alvarez@example.com,Cigna,U7114199,2023-08-16,,"Latex, Penicillin",900-89-8398,
204578,Lindqvist,Rosa,1953-04-14,F,rosa.lindqvist@example.com,UHC,97108503,2025-08-13,2026-01-14,Peanuts; Shellfish,900-27-9755,E11.9; I10
204579,Vasquez,Thanh,1/23/15,F,thanh.vasquez@example.com,Aetna,W7373702,2023-08-07,,PCN,900-69-3855,J45.909
204580,Mbeki,Adriana,1933-07-30,f,adriana.mbeki@example.com,United Healthcare,95189355,2026-01-16,,,900-26-8096,E11.9
204581,Ferreira,Beatriz,7/9/47,F,,Self Pay,,,,Peanuts; Shellfish,900-39-7368,E11.9
204582,Hollis,Emile,1936-03-09,M,emile.hollis@example.org,Aetna,W3049999,2026-04-13,2028-01-25,Penicillin; Peanuts; Latex,900-53-5598,I10
204583,Alvarez,Bjorn,1933-04-10,M,bjorn.alvarez@example.com,Blue Cross Blue Shield of Texas,ZGP3939190,2024-10-01,,,,E11.9
204584,Halvorsen,Giulia,1953-01-23,F,,Aetna,W6814381,2025-04-24,,Penicillin; Sulfa drugs,900-27-1220,E11.9; I10
204585,Mbeki,Alden,1931-07-19,M,alden.mbeki@example.com,Humana,H6942438,2026-06-18,,PCN,,E11.9
204586,Sandoval,Haruki,2018-05-08,X,haruki.sandoval@example.org,Cigna,U2727945,2025-04-24,,Penicillin,900-17-9005,
204587,Alvarez,Piotr,1954-06-10,M,piotr.alvarez@example.com,Medicare,1EG47693104,2025-10-26,,NSAIDs; Peanuts,900-19-1571,
204588,Petrov,Wendell,1954-11-14,MALE,,Medicare,1EG41897634,2025-09-19,,"Latex, Penicillin",,E11.9
204589,Ferreira,Sigrid,1957-04-22,U,sigrid.ferreira@mail.example.net,Medicare,1EG42158932,2024-10-15,,"Latex, Penicillin",900-24-2371,J45.909
204590,Bergstrom,Kwame,1962-08-03,M,kwame.bergstrom@example.com,Medicare,1EG45681413,2024-09-16,,Latex,900-93-6581,
204591,Nguyen,Anya,2019-03-21,F,anya.nguyen@example.com,Aetna,W3453642,2023-06-28,,Shellfish,,
204592,Bergstrom,Haruki,2005-04-17,Non-binary,haruki.bergstrom@example.org,BCBS TX,ZGP7545605,2023-06-28,,,900-32-7004,I10
204593,Sandoval,Ruben,8/15/90,M,ruben.sandoval@example.org,Humana,H2200824,2023-04-08,,,900-61-9775,
204594,Osei,Cordelia,1958-10-18,F,cordelia.osei@example.org,Humana,H9841106,2023-11-09,,Shellfish,900-68-3070,J45.909
204595,Ferreira,Everett,1999-03-31,M,everett.ferreira@example.com,Cigna,U1631492,2025-10-29,,PCN,,
204596,Sandoval,Rosa,1969-08-17,F,rosa.sandoval@example.com,United Healthcare,98954173,2023-06-24,2025-03-20,Sulfa drugs; NSAIDs,,
204597,Bergstrom,Beatriz,2004-11-10,F,,BCBS TX,ZGP7297158,2024-06-16,,Penicillin,900-11-1882,E11.9
204598,Yamada,Cordelia,1965-03-12,F,cordelia.yamada@mail.example.net,Medicare,1EG42653969,2025-11-24,,Penicillin; Sulfa drugs,900-66-9725,
204599,Baptiste,Luz,2021-10-16,F,luz.baptiste@mail.example.net,Blue Cross Blue Shield of Texas,ZGP6003167,2025-02-11,,Contrast dye; Latex,,E11.9
204600,Fitzgerald,Cordelia,1946-02-19,F,cordelia.fitzgerald@example.com,Aetna,W9335942,2024-12-03,,,900-85-5322,E11.9; I10
204601,Thorne,Chidi,1961-10-18,M,chidi.thorne@mail.example.net,UHC,92099945,2026-04-08,,Sulfa drugs; NSAIDs,,E11.9
204602,Ridley,Piotr,1955-11-05,M,piotr.ridley@mail.example.net,UHC,92817531,2026-05-30,,Peanuts; Shellfish,900-64-3762,
204603,Petrov,Bjorn,1997-08-21,m,,Medicare,1EG46435201,2025-07-25,,NKDA,900-33-2214,
204604,Okafor,Julien,2005-07-28,M,,Cigna,U7410537,2025-02-04,,Penicillin; Sulfa drugs,900-32-1239,
204605,Castellanos,Bjorn,1965-09-15,M,bjorn.castellanos@mail.example.net,United Healthcare,98262408,2026-03-18,,,900-27-3500,
204606,Moreau,Julien,1991-04-15,M,julien.moreau@example.com,Self Pay,,,,PCN,900-93-6341,I10
204607,Ridley,Cordelia,1967-10-27,Female,cordelia.ridley@example.com,AETNA,W8452744,2024-05-09,,"Latex, Penicillin",900-50-1602,
204608,Alvarez,Margot,1935-06-17,F,margot.alvarez@mail.example.net,BCBS TX,ZGP6759578,2024-05-13,,NKDA,900-85-2212,I10; J45.909
204609,Mbeki,Julien,1961-02-27,MALE,julien.mbeki@mail.example.net,United Healthcare,94153465,2024-03-28,,Shellfish,,
204610,Castellanos,Chidi,1993-12-14,M,,Medicare,1EG42584473,2024-03-21,,Penicillin,900-29-4494,
204611,Delacroix,Sigrid,1978-02-18,F,sigrid.delacroix@example.com,United Healthcare,92033630,2024-04-20,,NKDA,,E11.9; I10
204612,Alvarez,Ximena,1953-02-01,F,ximena.alvarez@example.org,Aetna,W6242169,2023-05-11,,Sulfa drugs; NSAIDs,900-50-3433,
204613,Thorne,Chidi,1949-12-01,MALE,chidi.thorne@example.com,AETNA,W6400854,2024-10-17,,PCN,900-22-5990,
204614,Nguyen,Elsa,1938-10-31,f,elsa.nguyen@example.org,Blue Cross Blue Shield of Texas,ZGP8607926,2025-04-15,,NKDA,900-34-2357,I10
204615,Ionescu,Ines,2004-10-08,F,ines.ionescu@example.com,Self Pay,,,,Shellfish,,
204616,Nguyen,Bjorn,1999-11-16,M,bjorn.nguyen@example.com,Humana,H3608580,2024-03-06,,NKDA,900-67-1931,E11.9; I10
204617,Bergstrom,Camila,1950-12-17,F,camila.bergstrom@example.com,United Healthcare,97312235,2023-07-16,,,900-35-8573,I10
204618,Vasquez,Vera,5/14/62,Non-binary,vera.vasquez@mail.example.net,UHC,92708063,2025-08-10,,PCN,900-57-7262,I10
204619,Osei,Ruben,1980-12-12,M,ruben.osei@example.com,Cigna,U1999355,2024-08-09,,Sulfa drugs; NSAIDs,900-13-6298,
204620,Escobar,Naledi,2015-09-19,F,naledi.escobar@example.com,Self Pay,,,,PCN,900-12-6469,I10
204621,Moreau,Vera,1977-05-18,Female,vera.moreau@example.com,United Healthcare,92525040,2025-11-17,,NKDA,900-88-2734,I10; J45.909
204622,Bergstrom,Alden,1942-06-18,M,alden.bergstrom@example.org,BCBS TX,ZGP7076337,2024-01-22,,Penicillin,900-55-9776,J45.909
204623,Baptiste,Emile,1960-10-04,Non-binary,,Blue Cross Blue Shield of Texas,ZGP1691614,2024-12-15,,PCN,900-31-2543,
204624,Petrov,Haruki,1941-11-13,MALE,haruki.petrov@example.com,Blue Cross Blue Shield of Texas,ZGP1545762,2026-03-07,,Penicillin; Peanuts; Latex,900-17-3923,E11.9
204625,Ionescu,Emile,1949-05-23,U,emile.ionescu@example.com,UHC,97048435,2025-01-09,,Penicillin,900-27-9555,E11.9
204626,Halvorsen,Naledi,2017-03-28,F,naledi.halvorsen@mail.example.net,Blue Cross Blue Shield of Texas,ZGP2572097,2023-02-09,,,900-24-1323,
204627,Achebe,Adriana,1979-09-08,F,adriana.achebe@example.com,United Healthcare,96273514,2024-09-16,,Penicillin; Sulfa drugs,900-11-4906,E11.9
204628,Achebe,Adriana,2000-09-17,F,adriana.achebe@example.com,UHC,92703944,2024-08-07,,Latex,900-18-2167,E11.9; I10
204629,Marchetti,Julien,8/4/93,M,,Aetna,W3725010,2026-05-31,,PCN,900-52-4187,
204630,Petrov,Alden,1950-02-10,M,alden.petrov@example.com,UHC,92290826,2024-11-06,,,900-28-6132,I10; J45.909
204631,Ionescu,Julien,1954-04-17,M,julien.ionescu@example.com,Self Pay,,,,Shellfish,900-35-3397,J45.909
204632,Sandoval,Femi,2004-11-10,M,femi.sandoval@example.com,United Healthcare,96438090,2023-02-19,,,,I10
204633,Petrov,Nora,1940-04-30,F,nora.petrov@example.com,Aetna,W1155366,2023-11-12,,,900-99-9810,E11.9
204634,Escobar,Femi,1962-07-12,M,femi.escobar@example.com,BCBS TX,ZGP2482324,2026-03-23,,NKDA,900-81-4168,E11.9
204635,Lindqvist,Luz,1972-03-22,F,luz.lindqvist@example.com,Cigna,U7778850,2026-04-29,,Penicillin; Sulfa drugs,900-62-1760,I10
204636,Ridley,Everett,1945-12-26,M,everett.ridley@example.org,BCBS TX,ZGP3458842,2025-06-11,,NKDA,900-20-3178,I10; J45.909
204637,Novotny,Everett,1942-02-03,M,everett.novotny@example.com,Blue Cross Blue Shield of Texas,ZGP6069402,2025-07-20,,Penicillin,900-47-9121,
204638,Lindqvist,Luz,1961-03-31,F,luz.lindqvist@mail.example.net,Humana,H6501068,2023-07-16,,,900-70-5739,I10
204639,Delacroix,Nora,1999-05-05,Female,,Humana,H2809573,2025-08-10,,,900-34-4711,I10
204640,Achebe,Haruki,1986-08-23,M,haruki.achebe@example.org,Humana,H3853732,2025-09-23,2027-04-29,Latex,900-77-4997,E11.9; I10
204641,Marchetti,Wendell,1999-12-22,M,wendell.marchetti@example.com,Aetna,W4881489,2024-07-13,,Penicillin; Peanuts; Latex,900-12-7812,
204642,Novotny,Mateo,1976-09-10,MALE,mateo.novotny@mail.example.net,Aetna,W6928237,2024-03-10,,,900-43-2599,E11.9; I10; J45.909
204643,Fitzgerald,Mateo,10/15/57,M,mateo.fitzgerald@example.com,United Healthcare,95114818,2025-10-01,,Shellfish,,I10
204644,Thorne,Kwame,2018-09-19,M,kwame.thorne@example.com,United Healthcare,92582109,2023-03-11,,,900-64-7334,I10
204645,Baptiste,Bjorn,7/13/12,M,bjorn.baptiste@example.com,Blue Cross Blue Shield of Texas,ZGP1847523,2025-10-10,,Penicillin; Sulfa drugs,900-45-9121,
204646,Alvarez,Ines,8/20/22,F,ines.alvarez@example.com,Humana,H6990908,2023-01-09,,NKDA,900-41-7073,E11.9
204647,Petrov,Ruben,1940-09-04,M,ruben.petrov@mail.example.net,Aetna,W5827776,2024-04-04,,NSAIDs; Peanuts,900-10-7293,I10; J45.909
204648,Bergstrom,Julien,1943-04-22,X,,BCBS TX,ZGP2803344,2025-11-19,,Peanuts; Shellfish,900-88-2106,
204649,Halvorsen,Cordelia,1963-06-06,F,cordelia.halvorsen@mail.example.net,Medicare,1EG43271464,2024-07-24,2024-11-21,Penicillin; Sulfa drugs,900-36-4707,E11.9; I10; J45.909
204650,Thorne,Nora,1964-04-08,F,nora.thorne@mail.example.net,Aetna,W2232462,2026-06-26,,Peanuts; Shellfish,900-52-1334,
204651,Delacroix,Margot,2014-04-15,Female,,Self Pay,,,,,900-51-7585,
204652,Okafor,Luz,4/26/17,f,luz.okafor@example.com,Blue Cross Blue Shield of Texas,ZGP6769502,2024-06-22,,,900-94-1647,I10
204653,Castellanos,Alden,1979-07-13,M,alden.castellanos@example.org,Aetna,W5219177,2024-10-11,,PCN,900-79-6615,I10; J45.909
204654,Yamada,Mateo,2011-02-28,MALE,,Humana,H4604464,2025-11-10,,NKDA,900-59-9419,
204655,Halvorsen,Mateo,1954-05-27,M,mateo.halvorsen@example.com,BCBS TX,ZGP3348140,2025-06-15,,Shellfish,900-90-5458,E11.9; I10; J45.909
204656,Moreau,Naledi,1966-11-08,F,naledi.moreau@example.org,Blue Cross Blue Shield of Texas,ZGP7938731,2025-12-14,,,900-52-4285,E11.9; I10
204657,Lindqvist,Luz,1949-06-03,F,luz.lindqvist@example.com,Cigna,U4038815,2025-11-28,,Sulfa drugs; NSAIDs,900-34-6751,J45.909
204658,Whitfield,Vera,2/22/43,F,vera.whitfield@example.com,Aetna,W1710518,2025-07-23,,Penicillin; Sulfa drugs,900-82-1773,E11.9; I10
204659,Lindqvist,Emile,2008-12-09,MALE,emile.lindqvist@example.org,Medicare,1EG45562280,2024-02-13,,NKDA,900-97-3820,E11.9
204660,Moreau,Wendell,1936-05-09,MALE,wendell.moreau@mail.example.net,Aetna,W1320529,2023-04-28,,Penicillin; Peanuts; Latex,900-62-6856,E11.9
204661,Kowalski,Sigrid,1974-07-27,F,,UHC,97198252,2023-12-08,2024-02-29,Penicillin; Peanuts; Latex,900-57-5327,
204662,Ramirez,Sigrid,1963-02-22,F,,Cigna,U2899696,2024-01-23,,Peanuts; Shellfish,900-51-6695,I10
204663,Ferreira,Emile,10/26/71,M,emile.ferreira@example.com,Aetna,W2431569,2023-09-09,,,900-25-5431,
204664,Kowalski,Haruki,7/1/08,M,haruki.kowalski@mail.example.net,United Healthcare,95479720,2023-07-09,,NKDA,900-56-3236,
204665,Aguilar,Vera,2024-04-27,F,vera.aguilar@example.org,Self Pay,,,,,900-63-5227,E11.9
204666,Hollis,Beatriz,1957-06-12,F,beatriz.hollis@mail.example.net,Medicare,1EG44021556,2024-01-16,,Contrast dye; Latex,900-59-4347,I10
204667,Lindqvist,Rosa,1941-04-15,F,rosa.lindqvist@example.org,Humana,H8378914,2025-08-17,,Sulfa drugs; NSAIDs,900-44-8509,
204668,Aguilar,Margot,2018-03-08,F,margot.aguilar@example.com,Blue Cross Blue Shield of Texas,ZGP2868941,2025-12-16,,Peanuts; Shellfish,900-17-7348,I10
204669,Baptiste,Vera,2015-08-18,F,vera.baptiste@example.com,Medicare,1EG43623242,2024-10-22,,NKDA,900-15-2164,E11.9
204670,Ferreira,Chidi,2023-05-14,M,chidi.ferreira@example.com,Medicare,1EG42620582,2024-04-25,,PCN,900-79-5050,E11.9; I10
204671,Novotny,Beatriz,2018-11-24,F,,Aetna,W6219371,2024-10-23,,Sulfa drugs; NSAIDs,900-70-1537,J45.909
204672,Whitfield,Bjorn,2005-03-26,M,bjorn.whitfield@mail.example.net,Blue Cross Blue Shield of Texas,ZGP7027673,2025-01-17,,Latex,,
204673,Osei,Luz,1977-12-19,U,,United Healthcare,99468811,2024-06-09,2025-12-28,Contrast dye; Latex,900-34-5153,
204674,Okafor,Chidi,2015-06-05,M,chidi.okafor@example.com,Cigna,U7759622,2024-08-29,,Shellfish,900-24-4203,
204675,Delacroix,Mateo,1943-01-23,MALE,mateo.delacroix@example.com,Blue Cross Blue Shield of Texas,ZGP9809161,2025-11-27,,PCN,900-10-6613,
204676,Achebe,Giulia,8/14/52,F,,Medicare,1EG47375066,2026-05-21,,Peanuts; Shellfish,900-65-8362,
204677,Ramirez,Ximena,1945-09-06,Female,,Self Pay,,,,,900-95-9938,I10
204678,Fitzgerald,Emile,1952-10-06,M,,Humana,H2632757,2024-08-14,,Penicillin,900-66-3654,I10; J45.909
204679,Baptiste,Emile,2011-03-17,MALE,,Blue Cross Blue Shield of Texas,ZGP2691716,2025-01-10,,Peanuts; Shellfish,900-74-2102,E11.9; I10; J45.909
204680,Fitzgerald,Mateo,1997-12-01,M,,Blue Cross Blue Shield of Texas,ZGP5009613,2026-05-21,,,900-56-7594,E11.9
204681,Kowalski,Ximena,2004-06-02,F,ximena.kowalski@example.com,United Healthcare,95703301,2025-04-10,,,900-93-9677,J45.909
204682,Kowalski,Anya,2011-04-03,F,anya.kowalski@example.com,BCBS TX,ZGP7890170,2026-02-17,,"Latex, Penicillin",900-29-4279,
204683,Nguyen,Camila,1959-03-11,F,camila.nguyen@mail.example.net,United Healthcare,94040800,2023-05-02,,Penicillin; Sulfa drugs,900-18-1522,J45.909
204684,Marchetti,Emile,2000-05-28,MALE,emile.marchetti@example.org,Blue Cross Blue Shield of Texas,ZGP3297863,2025-10-03,,NKDA,900-11-4407,
204685,Thorne,Alden,1973-03-23,M,alden.thorne@example.com,Humana,H7230602,2024-02-02,2024-04-08,,900-53-3030,E11.9
