Policy Number,Trans Code,Trans Date,Policy Eff Date,Policy Exp Date,LOB Code,Policy Holder Name,Carrier,Bill Type,Premium,Comm Percent,Comm Amount,Producer Code
AM-15965504,Endorsement,2024-06-02,2024-05-24,,Personal Auto,"Petrakis, Freya",Ardsley Mutual,D,349.29,,52.39,GBY-22
VN618607023,N/B,2024-06-02,2024-06-16,2025-06-16,WORK,"Trask Auto Body, Ltd",Valebrook National,A,63660.15,10,6366.02,HFN-04
NS-047614,NBS,2024-06-03,2024-06-09,2025-06-09,Personal Auto,Priya Lindgren,Northgate Specialty,DIRECT BILL,2928.44,17.5,512.48,HFN-11
NS-690349,NBS,2024-06-04,06/21/2024,2025-06-21,Auto,Ferraro Printing,NORTHGATE SPEC,D,"$39,893.17",0.1,3989.32,
SFM25420792,Endorsement,2024-06-04,2024-05-28,2024-06-21,HOME,Priya Wojcik,STANWICK F&M,Agency Bill,$177.70,15,26.65,TRW-02
NS-696027,New Business,2024-06-04,2024-06-12,06/12/2025,WORK,Lindqvist Contracting,Northgate Specialty,AB,49130.41,0.15,"7,369.56",
KC1101453,Renewal,2024-06-05,2024-06-12,06/12/2025,Personal Auto,Emeric Adeyemi,Kemwood Casualty Co,D,"1,630.87",17.5%,$285.40,MCL-15
SFM90244528,Endorsement,2024-06-05,2024-06-02,2025-03-17,General Liability,"Halvorsen Auto Body, Co",STANWICK F&M,AB,522.59,10,52.26,GBY-06
SFM42897553,PCH,2024-06-06,2024-05-29,,CGL,"Kessler Haulage, LLC",Stanwick Fire & Marine,Agency Bill,-430.29,0.125,-53.79,GBY-06
KC2365092,Renew,2024-06-06,2024-06-06,2025-06-06,CAUTO,"Wexler Printing, Inc",KEMWOOD CAS,Agency Bill,50776.85,15,"7,616.53",TRW-08
NS-928579,NBS,2024-06-06,2024-06-07,2025-06-07,Auto,Emeric Adeyemi,NORTHGATE SPEC,Direct Bill,"$3,500.95",17.5,612.67,HFN-11
KC6956281,END,2024-06-08,06/04/2024,2024-11-07,Comm Prop,"Kowalczyk Excavating, Inc",Kemwood Casualty,D,-1137.21,17.5,-199.01,MCL-01
PI-7398808,Reinstatement,2024-06-08,2024-06-13,2024-08-20,PAUTO,Josefa Thorne,PELHAM IND,D,"$1,920.24",15,288.04,MCL-15
NS-309974,New Business,2024-06-09,2024-06-16,2025-06-16,WORK,"Bramble Machine Works, Corp",Northgate Specialty Lines,DB,"$31,483.10",17.5,"$5,509.54",MCL-01
PI-4434251,NEW,2024-06-10,2024-06-12,2025-06-12,Commercial Auto,"Marchetti Cold Storage, LLC",Pelham Indemnity,DIRECT BILL,60328.7,0.175,"$10,557.52",GBY-06
KC4293649,Renewal,2024-06-10,06/14/2024,2025-06-14,Gen Liab,"Rennick Freight, Inc",KEMWOOD CAS,Agency Bill,"$29,174.82",17.5,"$5,105.59",HFN-04
PI-7061165,New Business,2024-06-11,06/13/2024,2025-06-13,Commercial Property,"Bramble Dairy, Co",Pelham Indemnity,Agency Bill,"56,264.12",10%,"5,626.41",HFN-04
SFM91122535,Endorsement,2024-06-11,06/06/2024,2024-08-21,WORK,"Halvorsen Foundry, LLC",STANWICK F&M,Direct Bill,-954.12,15%,-$143.12,TRW-08
NS-474445,Endorsement,2024-06-11,2024-06-07,2025-05-23,Commercial Property,"Nyquist Machine Works, LLC",Northgate Specialty,AB,-3278.54,17.5%,-573.74,MCL-01
PI-7398808,PCH,2024-06-12,2024-06-08,08/20/2024,Personal Auto,Josefa Thorne,Pelham Ind.,Direct Bill,$73.67,,11.05,MCL-15
SFM59317951,REN,2024-06-12,2024-06-15,2025-06-15,Umbrella,"Calloway Excavating, LLC",STANWICK F&M,Agency Bill,49700.05,15,"$7,455.01",HFN-11
KC6682767,New Business,2024-06-12,2024-06-23,2024-12-22,Homeowners,Solveig Falkenrath,KEMWOOD CAS,A,"1,340.69",20,268.14,GBY-06
SFM59894428,END,2024-06-13,2024-06-09,01/08/2025,PROP,"Renfro Electrical, Co",Stanwick Fire and Marine,Agency Bill,846.88,,$84.69,TRW-02
VN346225661,Endorsement,2024-06-14,2024-06-07,2025-05-18,Auto,MARCHETTI HAULAGE LLC,VALEBROOK NATL,A,"12,080.85",17.5,"$2,114.15",GBY-06
PI-3744328,NEW,2024-06-14,2024-06-18,2025-06-18,GL,"Ferraro Millwork, LLC",Pelham Indemnity,Agency,"10,719.43",15,1607.91,MCL-15
VN801496253,PCH,2024-06-14,2024-06-10,2024-11-28,HO,Josefa Rasmussen,VALEBROOK NATL,D,394.41,20,78.88,TRW-08
NS-564479,NEW,2024-06-15,2024-06-23,2025-06-23,Homeowners,Ingrid Novotny,Northgate Specialty,A,1117.39,0.2,223.48,GBY-22
NS-580396,Premium Audit,2024-06-15,05/11/2024,,Workers Comp,"Wexler Machine Works, Inc",Northgate Specialty Lines,Agency Bill,-2913.17,12.5,-364.15,TRW-08
SFM79489914,NBS,2024-06-15,2024-07-01,2025-07-01,CAUTO,"Halvorsen Roofing, Inc",Stanwick F & M,Direct,"$19,451.22",10,"$1,945.12",MCL-15
SFM45435178,PCH,2024-06-15,2024-06-06,,PPA,Malachy Guerrero,Stanwick Fire and Marine,Agency Bill,-$355.13,0.175,-62.15,TRW-08
KC7133275,XLC,2024-06-16,2024-06-04,,General Liability,"Petrossian Foundry, LLC",Kemwood Casualty,Agency,"-$4,839.50",15,-725.92,TRW-02
VN322500243,NBS,2024-06-16,07/02/2024,2025-07-02,Commercial Auto,"Halvorsen Millwork, LLC",VALEBROOK NATL,AGENCY BILL,70283.75,12,8434.05,TRW-02
KC7371443,New Business,2024-06-17,2024-06-28,06/28/2025,BAUTO,"Fairweather Welding, LLC",Kemwood Casualty,AB,47286.15,12.5,"$5,910.77",HFN-04
KC3223054,N/B,2024-06-17,06/30/2024,2025-06-30,BAUTO,"Underhill Machine Works, Co",Kemwood Casualty,A,"$39,539.95",12.5,4942.49,
SFM59894428,Endorsement,2024-06-19,2024-06-17,01/08/2025,Commercial Property,"Renfro Electrical, Co",Stanwick Fire and Marine,A,5084.18,10,508.42,
NS-327166,RWL,2024-06-20,2024-06-27,2025-06-27,CGL,Tolliver Machine Works,NORTHGATE SPEC,Agency Bill,36836.63,17.5,6446.41,TRW-02
NS-066294,Renewal,2024-06-20,2024-06-22,2025-06-22,HO,"Aldridge, Freya",Northgate Specialty,AGENCY BILL,"$1,775.21",15,266.28,GBY-06
VN802032265,New Business,2024-06-20,2024-06-20,2025-06-20,General Liability,PETROSSIAN ELECTRICAL INC,Valebrook,AB,7730.29,15,"1,159.54",GBY-06
NS-448674,NBS,2024-06-20,2024-06-29,2025-06-29,CAUTO,"Rennick Auto Body, LLC",NORTHGATE SPEC,A,"$71,499.75",.15,10724.96,GBY-06
SFM43950006,PCH,2024-06-21,2024-06-19,2024-08-04,GL,"Whitcomb Printing, Corp",STANWICK F&M,Direct,7246.92,0.15,"1,087.04",GBY-22
AM-34421217,Renewal,2024-06-21,2024-07-09,07/09/2025,Commercial Property,"Halvorsen Landscaping, LLC",Ardsley Mutual,D,"$14,111.93",15,"2,116.79",GBY-06
NS-360057,NBS,2024-06-21,2024-07-09,2025-07-09,Umbrella,PETROSSIAN DAIRY,NORTHGATE SPEC,D,19063.37,0.15,2859.51,GBY-06
KC9717634,RWL,2024-06-22,2024-06-25,2025-06-25,Commercial Auto,Ashby Printing,Kemwood Casualty,A,"$80,518.37",15,12077.76,HFN-11
AM-63701545,Renewal,2024-06-23,07/10/2024,2025-01-08,Personal Auto,Osman Halloran,Ardsley Mutual Insurance Company,DB,2862,0.15,429.30,HFN-04
VN745433764,PAB,2024-06-24,2024-05-11,,WORK,"Boyne Roofing, LLC",VALEBROOK NATL,Agency Bill,"1,070.00",15,160.5,TRW-08
SFM49207377,RWL,2024-06-24,2024-07-09,2025-07-09,HO3,Bartholomew Novotny,Stanwick F & M,DB,1558.76,12.5,194.85,TRW-02
PI-7398808,PCH,2024-06-24,2024-06-21,,PPA,Josefa Thorne,Pelham Indemnity,Direct Bill,-$382.52,0.15,-57.38,MCL-15
SFM54635331,PCH,2024-06-25,2024-06-25,,Personal Auto,"Sandoval, Adaeze",Stanwick Fire and Marine,DB,465.03,12,$55.80,HFN-04
SFM40632680,New Business,2024-06-26,06/27/2024,2025-06-27,WORK,Ashby Fabrication,Stanwick Fire and Marine,Agency,29674.91,0.12,"$3,560.99",HFN-11
SFM35332498,END,2024-06-26,2024-06-21,06/10/2025,HOME,Malachy Adeyemi,Stanwick Fire & Marine,D,$372.17,12,$44.66,MCL-01
AM-77613776,NBS,2024-06-28,2024-07-06,07/06/2025,CPROP,"Delacroix Dairy, Corp",Ardsley Mutual Insurance Company,D,70350.96,0.12,8442.12,TRW-02
AM-72463784,NEW,2024-06-28,2024-07-08,07/08/2025,Work Comp,CALLOWAY CONTRACTING LLC,Ardsley Mutual,D,69187.55,15,10378.13,HFN-11
NS-788811,New Business,2024-06-29,2024-06-30,2025-06-30,General Liability,"Boyne Roofing, Co",Northgate Specialty Lines,A,"$6,146.56",0.15,921.98,HFN-04
KC6309188,NBS,2024-06-30,2024-07-10,2025-07-10,Work Comp,ARBOGAST AUTO BODY LLC,Kemwood Casualty,Direct Bill,40620.97,15,6093.15,HFN-04
SFM85706852,XLN,2024-06-30,2024-06-28,,BAUTO,"Lindqvist Freight, Ltd",Stanwick Fire and Marine,A,-38574.64,15,-5786.2,MCL-01
SFM48759709,Endorsement,2024-06-30,06/22/2024,2024-08-05,CGL,"Tolliver Excavating, Inc",STANWICK F&M,D,"-$1,745.81",0.12,-209.5,HFN-04
SFM03370283,endorsement,2024-07-01,2024-06-23,2024-10-19,Commercial Property,WHITCOMB PRINTING LLC,Stanwick Fire & Marine,Agency Bill,3539.5,12,$424.74,HFN-04
VN346225661,END,2024-07-02,2024-06-29,2025-05-18,CAUTO,"Marchetti Haulage, LLC",Valebrook Nat'l,A,"-$3,120.44",17.5,-546.08,GBY-06
PI-2083724,Policy Change,2024-07-02,2024-07-02,2024-12-05,Commercial Auto,"Fairweather Roofing, LLC",Pelham Indemnity Group,D,-1079.49,10,-$107.95,HFN-11
KC1395356,PCH,2024-07-03,2024-06-30,2025-05-08,Commercial Auto,Dupree Printing,Kemwood Casualty Co,AB,-2844.23,15,-426.63,HFN-04
PI-3623902,Policy Change,2024-07-03,2024-07-01,,CAUTO,"Halvorsen Excavating, Inc",Pelham Indemnity,Direct Bill,"$1,829.70",20,$365.94,MCL-15
KC2428106,endorsement,2024-07-03,2024-06-26,2024-10-05,Commercial Property,"Fairweather Freight, LLC",Kemwood,Direct Bill,"$1,830.45",20,366.09,HFN-11
KC6862016,Renewal,2024-07-04,2024-07-08,2025-07-08,Commercial Auto,"Lindqvist Electrical, Co",Kemwood Casualty Co,Direct Bill,"$44,947.53",17.5,"7,865.82",HFN-04
SFM12052217,Cancel,2024-07-04,2024-06-28,,GL,Delacroix Dairy,Stanwick Fire & Marine,Agency Bill,-40612.61,10,-4061.26,TRW-02
NS-364407,New Business,2024-07-05,2024-07-14,2025-07-14,UMB,"Boyne Excavating, LLC",NORTHGATE SPEC,Direct,53208.2,12,"$6,384.98",TRW-08
VN385915599,NBS,2024-07-05,2024-07-20,2025-07-20,HOME,Priya Halloran,Valebrook National,DIRECT BILL,3105.89,17.5,543.53,TRW-08
SFM48759709,PCH,2024-07-05,2024-06-27,,GL,"Tolliver Excavating, Inc",Stanwick F & M,Direct Bill,-1110.29,12,-$133.23,HFN-04
KC7642226,NBS,2024-07-06,2024-07-09,2025-07-09,Gen Liab,"Ashby Freight, Co",Kemwood Casualty,A,18461.77,20,"$3,692.35",MCL-15
VN376382480,PCH,2024-07-07,2024-07-01,2025-03-01,BAUTO,MARCHETTI MILLWORK LLC,Valebrook,Agency Bill,-8789.49,.12,"-1,054.74",GBY-06
KC4296054,New Business,2024-07-08,2024-07-13,07/13/2025,PROP,Rennick Freight,Kemwood Casualty Co,DIRECT BILL,"$3,097.78",10,309.78,HFN-04
VN036993785,Cancellation,2024-07-08,06/30/2024,,Commercial Property,"Delacroix Roofing, Co",Valebrook Nat'l,DIRECT BILL,-1942.05,15,-291.31,GBY-22
KC0295532,CAN,2024-07-08,2024-07-04,,Homeowners,Solveig Aldridge,Kemwood Casualty,D,-814.29,12%,-$97.71,HFN-04
AM-24710707,New Business,2024-07-09,2024-07-10,2025-07-10,PAUTO,Josefa Okonkwo,Ardsley Mutual,D,"1,384.73",17.5,242.33,TRW-02
NS-407380,RWL,2024-07-09,2024-07-23,2025-07-23,CAUTO,Boyne Excavating,Northgate Specialty,Agency Bill,74839.84,15,11225.98,GBY-22
VN474291550,Cancel,2024-07-09,2024-07-05,,Commercial Auto,"Bramble Contracting, LLC",Valebrook National,A,-1970.33,12.5,-246.29,MCL-01
NS-867070,NBS,2024-07-10,2024-07-10,2025-07-10,WORK,Standish Machine Works,Northgate Specialty,Agency,31077.9,12%,3729.35,TRW-08
NS-140605,PAB,2024-07-11,05/11/2024,,Work Comp,"Trask Foundry, Ltd",Northgate Specialty,A,2516.51,12,301.98,GBY-22
SFM97244868,NBS,2024-07-12,2024-07-18,2025-07-18,CGL,LINDQVIST CONTRACTING LLC,Stanwick F & M,Agency,47676.09,15,"7,151.41",MCL-15
PI-8256995,RWL,2024-07-12,2024-07-29,2025-07-29,PROP,ASHBY FABRICATION LLC,Pelham Indemnity,D,29821.72,15,"4,473.26",TRW-02
KC4883260,Endorsement,2024-07-12,2024-07-04,,CGL,Lindqvist Freight,KEMWOOD CAS,A,-472.79,10,-47.28,GBY-06
VN234092119,Policy Change,2024-07-12,2024-07-10,,CGL,"Underhill Roofing, Ltd",VALEBROOK NATL,D,-3626.71,12,-435.21,MCL-15
AM-76406752,Renewal,2024-07-13,07/26/2024,2025-07-26,WORK,"Marchetti Fabrication, Ltd",ARDSLEY MUTUAL INS CO,AB,70576.81,10,7057.68,TRW-08
KC5748540,Renewal,2024-07-13,2024-07-30,2025-07-30,Personal Auto,Terrence Aldridge,Kemwood,D,705.22,15,105.78,MCL-01
PI-1752207,endorsement,2024-07-14,2024-07-13,2024-12-25,UMB,"Halvorsen Produce, LLC",Pelham Indemnity,Agency Bill,361.46,10,36.15,TRW-02
NS-255743,NBS,2024-07-15,07/18/2024,2025-07-18,CGL,Bramble Contracting,NORTHGATE SPEC,A,"45,822.27",15,"6,873.34",TRW-02
NS-564479,PCH,2024-07-16,2024-07-11,,HO,Ingrid Novotny,Northgate Specialty,Agency Bill,90.53,0.2,$18.11,GBY-22
NS-284475,RWL,2024-07-17,2024-07-21,2025-07-21,Comm Umbrella,"Underhill Freight, LLC",Northgate Specialty,DIRECT BILL,"$27,200.40",12,3264.05,HFN-11
NS-456996,Renew,2024-07-17,2024-07-28,2025-07-28,General Liability,"Nyquist Cold Storage, LLC",NORTHGATE SPEC,AGENCY BILL,"54,467.18",20,10893.44,GBY-06
AM-44501872,New Business,2024-07-17,2024-07-23,2025-07-23,Auto,Standish Plumbing & Heating,ARDSLEY MUTUAL INS CO,A,55775.49,,"$11,155.10",TRW-08
KC0438572,Endorsement,2024-07-17,2024-07-11,2024-10-30,PAUTO,Vidal Aldridge,Kemwood Casualty Co,D,$38.36,.1,3.84,GBY-22
PI-3758326,Renewal,2024-07-18,2024-07-20,2025-07-20,Workers Comp,DELACROIX COLD STORAGE LTD,Pelham Indemnity,DB,"52,871.01",20,"$10,574.20",TRW-02
NS-066294,PCH,2024-07-20,2024-07-20,2025-06-22,HOME,Freya Aldridge,NORTHGATE SPEC,A,220.59,15,33.09,GBY-06
KC0950613,REN,2024-07-20,2024-08-05,2025-08-05,PROP,"Boyne Cabinetry, LLC",Kemwood,AB,78811.84,12.5,9851.48,GBY-06
KC1392357,Policy Change,2024-07-22,2024-07-16,04/28/2025,HO,Malachy Rasmussen,Kemwood Casualty,Direct,$160.78,15,24.12,MCL-01
AM-56702560,PAB,2024-07-23,05/26/2024,,Workers Comp,"Ferraro Roofing, Inc",Ardsley Mut,DB,"9,765.62",15,"$1,464.84",MCL-15
SFM75616804,RWL,2024-07-24,2024-07-30,07/30/2025,GL,"Bramble Bakery, Inc",Stanwick Fire & Marine,D,79609.33,20,15921.87,HFN-04
VN801496253,Policy Change,2024-07-25,2024-07-21,2024-11-28,HO3,Josefa Rasmussen,Valebrook National,DIRECT BILL,171.82,20,34.36,TRW-08
PI-8712524,New Business,2024-07-26,2024-08-07,2025-08-07,CAUTO,LINDQVIST CONTRACTING LTD,Pelham Ind.,DB,6638,17.5,"1,161.65",TRW-08
NS-067119,Renewal,2024-07-27,2024-07-28,07/28/2025,CPROP,"Marchetti Millwork, Corp",Northgate Specialty,AB,"7,130.53",0.2,1426.11,
PI-9153728,Cancellation,2024-07-27,2024-07-24,,GL,"Tolliver Millwork, Inc",Pelham Indemnity Group,DB,"-31,387.90",12.5,"-$3,923.49",TRW-08
VN618607023,PCH,2024-07-27,2024-07-19,,WORK,"Trask Auto Body, Ltd",Valebrook National,Agency Bill,"-$6,499.90",,-649.99,HFN-04
NS-317097,NBS,2024-07-28,2024-08-02,2025-08-02,CGL,Bramble Foundry,Northgate Specialty,Direct,73175.96,17.5,"$12,805.79",MCL-01
NS-742994,Cancellation,2024-07-29,2024-07-24,,Comm Prop,"Ostrander Bakery, LLC",Northgate Specialty Lines,AGENCY BILL,-8476.75,.15,-1271.51,GBY-06
AM-77115282,XLC,2024-07-29,2024-07-26,,Commercial Property,"Ashby Welding, LLC",ardsley mutual,Direct,"-$24,199.42",12%,-2903.93,GBY-06
SFM85706852,Endorsement,2024-07-29,2024-07-27,,BAUTO,"Lindqvist Freight, Ltd",Stanwick F & M,AGENCY BILL,-10178.7,.15,"-$1,526.80",MCL-01
NS-559240,RWL,2024-07-30,2024-08-17,2025-08-17,BAUTO,"Fairweather Auto Body, Corp",Northgate Specialty,Agency,"67,011.01",,11726.93,TRW-08
KC5488737,Renew,2024-07-30,2024-08-07,2025-08-07,PROP,"Boyne Millwork, LLC",KEMWOOD CAS,Agency,"$12,506.48",12,"$1,500.78",HFN-11
NS-480218,endorsement,2024-07-31,2024-07-24,,UMBR,"Calloway Haulage, LLC",Northgate Specialty Lines,D,233.69,12.5,$29.21,MCL-01
SFM43950006,Renew,2024-07-31,2024-08-04,2025-08-04,CGL,"Whitcomb Printing, Corp",STANWICK F&M,DB,"$46,750.89",15,"$7,012.63",GBY-22
NS-360057,Policy Change,2024-07-31,2024-07-30,2025-07-09,Comm Umbrella,PETROSSIAN DAIRY,Northgate Specialty,D,3288.53,.15,493.28,GBY-06
SFM48684159,New Business,2024-07-31,08/10/2024,08/10/2025,PROP,TRASK FOUNDRY INC,Stanwick Fire & Marine,Agency,53455.94,20,10691.19,GBY-22
VN234092119,PCH,2024-07-31,2024-07-28,,GL,"Underhill Roofing, Ltd",Valebrook,D,-2117.82,12,-254.14,MCL-15
VN036993785,REI,2024-08-01,2024-07-28,2024-11-13,PROP,"Delacroix Roofing, Co",VALEBROOK NATL,Direct,"1,942.05",15,291.31,GBY-22
KC9456849,NBS,2024-08-01,08/19/2024,08/19/2025,UMB,"Marchetti Excavating, LLC",Kemwood Casualty Co,A,69145.07,12.5,"$8,643.13",HFN-11
NS-543238,Policy Change,2024-08-01,2024-07-25,,WORK,Nyquist Millwork,Northgate Specialty,A,"-$2,559.17",15,-$383.88,TRW-08
KC4107692,RWL,2024-08-01,2024-08-18,2025-08-18,CPROP,"Bramble Machine Works, LLC",Kemwood Casualty,Direct,43163.28,12.5,5395.41,HFN-04
NS-443460,Renewal,2024-08-02,2024-08-18,2025-08-18,Work Comp,"Kowalczyk Haulage, LLC",Northgate Specialty,A,24613.56,.1,2461.36,HFN-04
PI-9580827,PCH,2024-08-03,2024-08-02,,Gen Liab,Underhill Dairy,Pelham Indemnity,AGENCY BILL,"$1,559.12",10%,155.91,GBY-22
PI-9118699,PCH,2024-08-03,2024-08-01,2025-02-17,PROP,"Lindqvist Excavating, Co",Pelham Indemnity Group,Direct,-8230.51,12.5,"-$1,028.81",HFN-11
PI-7398808,Renew,2024-08-03,2024-08-20,2025-02-18,PAUTO,Josefa Thorne,Pelham Ind.,D,"$3,901.07",15,$585.16,MCL-15
VN931189587,NBS,2024-08-04,2024-08-18,2025-08-18,Gen Liab,Wexler Plumbing & Heating,Valebrook National,Agency,22227.73,12.5,"$2,778.47",GBY-22
SFM12090180,PCH,2024-08-05,08/02/2024,05/19/2025,WC,"Lindqvist Cold Storage, Corp",STANWICK F&M,A,1516.04,12.5,189.51,HFN-04
NS-075585,Renew,2024-08-05,2024-08-06,2025-08-06,Workers Comp,"Boyne Plumbing & Heating, Co",Northgate Specialty,D,"$16,230.25",0.12,"$1,947.63",HFN-11
KC0438572,Policy Change,2024-08-05,2024-08-03,2024-10-30,PPA,Vidal Aldridge,Kemwood Casualty Co,Direct,58.69,10,$5.87,GBY-22
KC1153023,RWL,2024-08-06,2024-08-08,2025-08-08,CAUTO,"Halvorsen Landscaping, Co",KEMWOOD CAS,D,"38,080.27",12,"$4,569.63",HFN-11
SFM46937492,NBS,2024-08-07,08/22/2024,2025-08-22,Commercial Auto,"Marchetti Freight, LLC",Stanwick Fire & Marine,Direct Bill,68718.39,10,6871.84,TRW-02
SFM43701039,Renewal,2024-08-07,08/11/2024,2025-08-11,CAUTO,"Wexler Electrical, Corp",Stanwick F & M,DIRECT BILL,"64,652.65",,"$9,697.90",MCL-01
SFM28951148,NBS,2024-08-08,2024-08-19,2025-02-17,Auto,Vidal Lindgren,Stanwick Fire & Marine,DIRECT BILL,"1,131.35",,169.70,GBY-06
SFM32561644,Cancellation,2024-08-08,2024-07-31,,General Liability,"Ostrander Welding, LLC",Stanwick Fire & Marine,A,"-$27,423.25",12,-3290.79,MCL-01
PI-3114105,N/B,2024-08-09,2024-08-10,2025-08-10,GL,"Wexler Millwork, Co",Pelham Indemnity Group,Direct Bill,14174.84,0.12,1700.98,
AM-99327016,PCH,2024-08-09,2024-08-09,2025-06-11,CPROP,"Delacroix Bakery, Corp",Ardsley Mutual,D,"$2,040.94",15,306.14,HFN-11
VN415713182,Endorsement,2024-08-09,2024-08-06,2025-04-20,CGL,"Wexler Freight, LLC",VALEBROOK NATL,Agency Bill,"$12,302.96",15,"$1,845.44",TRW-02
KC9864090,PCH,2024-08-10,2024-08-01,2025-06-09,BAUTO,"Delacroix Auto Body, LLC",Kemwood Casualty,D,8583.07,15,1287.46,HFN-11
VN000167815,NBS,2024-08-10,2024-08-27,2025-08-27,BAUTO,"Petrossian Dairy, LLC",Valebrook,Agency Bill,"$60,490.92",17.5,"10,585.91",MCL-01
PI-4922215,Renewal,2024-08-12,2024-08-24,2025-08-24,Workers Comp,Calloway Bakery,Pelham Indemnity,Agency Bill,5159.18,17.5,902.86,HFN-11
VN228262828,PCH,2024-08-13,08/06/2024,,WORK,"Halvorsen Excavating, Inc",Valebrook,Direct Bill,6466.76,17.5,"1,131.68",HFN-04
AM-35656160,PCH,2024-08-14,2024-08-12,2024-11-29,WC,"Boyne Auto Body, Ltd",Ardsley Mut,Agency,5382.99,10,538.3,HFN-04
VN461565437,Audit,2024-08-14,2024-04-25,,Workers Comp,"Underhill Excavating, LLC",Valebrook National,Direct,"12,000.51",15,1800.08,HFN-04
SFM92509992,REN,2024-08-15,2024-08-22,2025-08-22,CAUTO,"Rennick Millwork, Inc",STANWICK F&M,Direct Bill,"75,209.23",12,9025.11,MCL-01
AM-46204926,XLC,2024-08-15,2024-08-03,,PAUTO,Josefa Vasquez,Ardsley Mutual,DB,-1607.74,15,-241.16,TRW-02
KC8508877,N/B,2024-08-17,2024-08-21,2025-08-21,CGL,"Boyne Bakery, Inc",Kemwood Casualty,DIRECT BILL,"4,509.01",12.5,$563.63,HFN-04
PI-1790639,PCH,2024-08-17,08/13/2024,,HOME,"Rasmussen, Priya",Pelham Ind.,D,198.77,.12,23.85,MCL-15
SFM42897553,PCH,2024-08-17,2024-08-08,2025-04-30,CGL,"Kessler Haulage, LLC",STANWICK F&M,A,378.1,12.5%,47.26,GBY-06
PI-4377229,PCH,2024-08-17,2024-08-14,,Comm Prop,"Tolliver Cabinetry, Corp",Pelham Indemnity,DIRECT BILL,"-$3,679.59",12.5,-$459.95,MCL-01
AM-34421217,Policy Change,2024-08-18,2024-08-14,2025-07-09,Comm Prop,"Halvorsen Landscaping, LLC",Ardsley Mut,Direct,"-$2,013.93",15,-302.09,GBY-06
VN523842487,RWL,2024-08-18,2024-08-24,2025-08-24,CAUTO,"Whitcomb Excavating, LLC",Valebrook Nat'l,Agency Bill,12330.79,15,1849.62,GBY-06
KC9408633,PCH,2024-08-18,2024-08-17,,WC,"Ostrander Roofing, Co",Kemwood Casualty,Direct,3557.94,10,355.79,HFN-04
SFM79387086,Non-Renewal,2024-08-18,2024-10-27,,Commercial Auto,Petrossian Foundry,Stanwick Fire & Marine,Direct Bill,$0.00,0.15,$0.00,MCL-01
KC6682767,Endorsement,2024-08-18,2024-08-18,2024-12-22,Homeowners,"Falkenrath, Solveig",Kemwood Casualty Co,A,235.9,20,47.18,GBY-06
PI-4496495,Endorsement,2024-08-19,2024-08-19,,WORK,"Fairweather Plumbing & Heating, Co",Pelham Indemnity,DB,"$3,155.89",12.5,394.49,TRW-02
VN867623526,RWL,2024-08-19,2024-08-30,2025-08-30,General Liability,"Rennick Plumbing & Heating, Co",Valebrook National,A,7013.73,10,$701.37,MCL-15
SFM42687674,NBS,2024-08-19,2024-09-02,09/02/2025,Auto,Josefa Thorne,Stanwick F & M,DB,2662.1,15,399.32,TRW-02
KC4758763,PCH,2024-08-19,08/12/2024,,PROP,"Ashby Millwork, LLC",Kemwood Casualty,Agency,-10729.28,0.15,"-1,609.39",GBY-06
SFM08930705,NBS,2024-08-20,2024-08-23,2025-08-23,CGL,"Renfro Haulage, Corp",STANWICK F&M,Agency Bill,10801.33,15,"$1,620.20",MCL-15
SFM92401119,PCH,2024-08-21,2024-08-13,2025-04-19,CGL,Fairweather Auto Body,STANWICK F&M,D,"$5,539.17",15,830.88,GBY-06
SFM84370561,N/B,2024-08-21,2024-09-04,2025-09-04,General Liability,"Calloway Machine Works, LLC",STANWICK F&M,AB,"39,462.25",15,"5,919.34",MCL-01
SFM54635331,PCH,2024-08-21,2024-08-12,2025-06-08,Auto,Adaeze Sandoval,STANWICK F&M,D,$155.48,12,18.66,HFN-04
KC5128290,NBS,2024-08-21,2024-08-23,2025-08-23,Comm Auto,"Marchetti Fabrication, LLC",Kemwood,A,17980.8,,"$1,798.08",HFN-04
SFM33966980,PCH,2024-08-22,2024-08-13,,Commercial Property,"Ferraro Welding, LLC",Stanwick Fire & Marine,D,4026.76,15,604.01,MCL-01
NS-066294,PCH,2024-08-22,2024-08-18,,Homeowners,Freya Aldridge,Northgate Specialty,AB,288.11,15,$43.22,GBY-06
AM-63984602,XLN,2024-08-22,2024-08-21,,HOME,Yolanda Vasquez,Ardsley Mutual,D,-264.74,0.2,-52.95,TRW-08
VN413107115,PCH,2024-08-22,2024-08-15,,GL,Fairweather Foundry,Valebrook National,DB,$514.96,15,77.24,TRW-02
KC9425453,endorsement,2024-08-23,08/18/2024,,CGL,"Wexler Contracting, Ltd",KEMWOOD CAS,D,"2,233.66",10,$223.37,GBY-06
SFM09839403,NEW,2024-08-24,2024-09-09,2025-09-09,Commercial Property,"Halvorsen Machine Works, LLC",STANWICK F&M,Direct Bill,37926.12,.12,"4,551.13",GBY-22
NS-222015,endorsement,2024-08-24,2024-08-18,2025-04-20,Auto,"Wexler Cabinetry, Corp",NORTHGATE SPEC,A,"1,436.09",15,$215.41,HFN-04
NS-165941,Renew,2024-08-26,2024-09-02,2025-09-02,CGL,"Ferraro Dairy, Co",Northgate Specialty,AGENCY BILL,34269.44,10,3426.94,MCL-15
